Section,Category,Full Question,Mapped Table(s),Current Status,Notes,Business Purpose,Risk Level
Section 1,Aetna → Edifecs,What is the primary encounter header table in the Edifecs Data Mart that contains one row per claim/encounter?,RRM_ENCOUNTER,Confirmed,Core encounter table; assumed one row per encounter,Identify intake record structure,Low
Section 1,Aetna → Edifecs,Which table contains the original claim ID that we can match back to AWS adjudicated claims?,RRM_CLAIM,Confirmed,Contains original claim identifiers for cross-system reconciliation,Cross-system reconciliation,Low
Section 1,Aetna → Edifecs,Is there a field that indicates the 'received date' in Edifecs?,RRM_ENCOUNTER (Received_Date / Modified_Date),Partial,Need confirmation whether this represents true ingestion date,Ingestion tracking,Medium
Section 1,Aetna → Edifecs,How do we identify whether a claim was successfully ingested into Edifecs vs rejected at ingestion?,RRM_ENCOUNTER + EN_ACTIVITY_STATE,Partial,Likely determined via activity state mapping,Stage 1 drop detection,Medium
Section 1,Aetna → Edifecs,Is there a unique encounter ID generated by Edifecs? Where is that stored?,RRM_ENCOUNTER (Encounter_ID),Confirmed,Primary key for reconciliation,Core reconciliation key,Low
Section 2,Edifecs → CMS,Which table tracks the lifecycle status of an encounter?,RRM_ENCOUNTER,Confirmed,Contains Activity_State_ID and Disposition_ID,Lifecycle tracking,Low
Section 2,Edifecs → CMS,Is there a status history table that shows movement across stages?,Unknown,Pending,Need confirmation if historical state tracking exists,Bottleneck analysis,High
Section 2,Edifecs → CMS,"What are the main status codes used to indicate: received, validated, error, batched, submitted?","EN_ACTIVITY_STATE, EN_DISPOSITION",Confirmed,Status mapping tables identified,Correct interpretation of processing state,Low
Section 2,Edifecs → CMS,Which table stores validation errors or missing data element errors?,Error Identifier Table (Exact Name TBD),Partial,Stores error code and detailed message,Root cause analysis,Medium
Section 2,Edifecs → CMS,How do we identify claims that are held due to missing NPI or other required elements?,"RRM_CLAIM, Error Table",Partial,Requires confirmation of business rule logic,Revenue leakage detection,High
Section 2,Edifecs → CMS,Is there a batch submission table that tracks when encounters are sent to CMS?,RX_BATCH / CLAIM_BATCH (To Confirm),Pending,Need official confirmation of 837 linkage table,Submission verification,High
Section 2,Edifecs → CMS,Can we identify encounters that never progressed to a CMS batch?,Unknown (Depends on Batch Linkage),Pending,Requires confirmed encounter-to-batch mapping,Stage 2 drop detection,High
Section 3,CMS → Edifecs,Which table stores CMS response (MAO4 or acknowledgment) information?,MAO_ACKNOWLEDGEMENT,Partial,Needs validation for completeness,Final disposition tracking,Medium
Section 3,CMS → Edifecs,How do we identify accepted vs rejected encounters at claim level?,"EN_DISPOSITION, MAO_ACKNOWLEDGEMENT",Partial,Based on disposition mapping logic,Acceptance rate analysis,Medium
Section 3,CMS → Edifecs,Is there a diagnosis-level disposition table (DX-level rejection)?,Unknown,Pending,Need confirmation if DX-level rejection is stored separately,Risk adjustment impact,High
Section 3,CMS → Edifecs,Where are reject reason codes stored?,Error Identifier Table / MAO Table,Partial,Requires confirmation of reject code classification,Operational resolution,Medium
Section 3,CMS → Edifecs,Is there a way to differentiate between duplicate rejection vs data validation rejection?,MAO_ACKNOWLEDGEMENT / Error Table,Partial,Depends on reject reason code mapping,Financial impact segmentation,Medium
Revenue,Financial Impact,Does the Data Mart store allowed amount or payment amount at claim level?,RRM_CLAIM (To Confirm),Pending,Need confirmation whether financial fields exist in DM,Revenue quantification,High
Revenue,Financial Impact,Can we identify diagnosis codes associated with each encounter?,RRM_CLAIM,Confirmed,Contains diagnosis codes,Risk scoring linkage,Low
Revenue,Financial Impact,Is there a flag indicating risk-adjustable DX codes?,Unknown,Pending,May require external HCC mapping logic,RAF impact measurement,High
Revenue,Financial Impact,How do you currently measure drop value? Count only or financial impact?,Derived Metric (Business Logic),Pending,Requires business clarification,Executive reporting,High
Architecture,System Design,Are we querying the transactional database or the Data Mart database?,Environment Clarification Required,Pending,Need DB environment confirmation,Performance & governance,Medium
Architecture,System Design,What is refreshed daily vs weekly in the Data Mart?,Environment Metadata,Pending,Data freshness clarification needed,Reporting accuracy,Medium
Architecture,System Design,Are there indexed views already used for reporting?,Unknown,Pending,Requires DBA confirmation,Query optimization,Medium
Architecture,System Design,Do you have ER diagrams or schema documentation we can review?,Documentation,Pending,Request architecture artifacts,Faster development,Low
