Section,Category,Question,Mapped Table(s),Current Status,Notes,Business Purpose,Risk Level
Section 1,Aetna → Edifecs,Primary encounter header table (one row per encounter),RRM_ENCOUNTER,Confirmed,Core encounter table; one record per encounter,Intake validation,Low
Section 1,Aetna → Edifecs,Original claim ID match to AWS adjudicated claims,RRM_CLAIM,Confirmed,Contains original claim identifiers,Cross-system reconciliation,Low
Section 1,Aetna → Edifecs,Field indicating received date in Edifecs,RRM_ENCOUNTER (Received/Modified Date),Partial,Need confirmation if true ingestion date vs last modified,Ingestion tracking,Medium
Section 1,Aetna → Edifecs,Identify if claim ingested vs rejected at ingestion,RRM_ENCOUNTER + EN_ACTIVITY_STATE,Partial,Based on Activity State mapping,Drop detection (Stage 1),Medium
Section 1,Aetna → Edifecs,Unique encounter ID generated by Edifecs,RRM_ENCOUNTER (Encounter_ID),Confirmed,Primary key for reconciliation,Key join element,Low
Section 2,Edifecs → CMS,Lifecycle status tracking table,RRM_ENCOUNTER,Confirmed,Contains Activity_State_ID and Disposition_ID,Processing stage tracking,Low
Section 2,Edifecs → CMS,Status history table for movement across stages,Unknown,Pending,Need confirmation if historical state table exists,Delay/bottleneck analysis,High
Section 2,Edifecs → CMS,Main status code mapping table,"EN_ACTIVITY_STATE, EN_DISPOSITION",Confirmed,Maps status IDs to readable meaning,Lifecycle interpretation,Low
Section 2,Edifecs → CMS,Validation errors or missing data element errors table,Error Identifier Table (Exact name TBD),Partial,Stores error code and detailed message,Root cause analysis,Medium
Section 2,Edifecs → CMS,Identify claims held due to missing NPI,"RRM_CLAIM, Error Table",Partial,Requires business rule validation,Revenue leakage detection,High
Section 2,Edifecs → CMS,Batch submission tracking table,RX_BATCH / CLAIM_BATCH (To Confirm),Pending,Need official confirmation for 837 linkage,Submission verification,High
Section 2,Edifecs → CMS,Identify encounters never progressed to CMS batch,Unknown (Requires Batch Linkage),Pending,Depends on confirmed batch linkage table,Drop detection (Stage 2),High
Section 3,CMS → Edifecs,CMS response (MAO4/Acknowledgment) table,MAO_ACKNOWLEDGEMENT,Partial,Needs confirmation of completeness,Final disposition tracking,Medium
Section 3,CMS → Edifecs,Accepted vs rejected encounters at claim level,"EN_DISPOSITION, MAO_ACKNOWLEDGEMENT",Partial,Based on disposition mapping,Acceptance rate analysis,Medium
Section 3,CMS → Edifecs,Diagnosis-level rejection table (DX-level),Unknown,Pending,Need confirmation if DX-level disposition exists,Risk adjustment impact,High
Section 3,CMS → Edifecs,Reject reason codes storage,Error Identifier Table / MAO Table,Partial,Need mapping confirmation,Operational resolution,Medium
Section 3,CMS → Edifecs,Differentiate duplicate vs validation rejection,MAO_ACKNOWLEDGEMENT / Error Table,Partial,Depends on reject code classification,Financial impact segmentation,Medium
Revenue,Financial Impact,Allowed/payment amount at claim level,RRM_CLAIM (To Confirm),Pending,Need confirmation if financials exist in DM,Revenue quantification,High
Revenue,Financial Impact,Diagnosis codes per encounter,RRM_CLAIM,Confirmed,Contains DX codes,Risk scoring linkage,Low
Revenue,Financial Impact,Flag for risk-adjustable DX codes,Unknown,Pending,May require external HCC mapping,RAF impact measurement,High
Revenue,Financial Impact,Measure drop value (count vs financial),Derived metric (Not table-based),Pending,Requires business logic,Executive reporting,High
Architecture,System Design,Transactional DB vs Data Mart?,Environment clarification required,Pending,Need DB environment confirmation,Performance & governance,Medium
Architecture,System Design,Refresh frequency (daily vs weekly),Environment metadata,Pending,Data freshness clarification needed,Reporting accuracy,Medium
Architecture,System Design,Indexed views used for reporting?,Unknown,Pending,Need DBA confirmation,Query optimization,Medium
Architecture,System Design,ER diagrams/schema documentation available?,Documentation,Pending,Request architecture artifacts,Faster development,Low
